chr1	0	248956422	121700000	125100000
chr2	0	242193529	91800000	96000000
chr3	0	198295559	87800000	94000000
chr4	0	190214555	48200000	51800000
chr5	0	181538259	46100000	51400000
chr6	0	170805979	58500000	62600000
chr7	0	159345973	58100000	62100000
chr8	0	145138636	43200000	47200000
chr9	0	138394717	42200000	45500000
chr10	0	133797422	38000000	41600000
chr11	0	135086622	51000000	55800000
chr12	0	133275309	33200000	37800000
chr13	0	114364328	16500000	18900000
chr14	0	107043718	16100000	18200000
chr15	0	101991189	17500000	20500000
chr16	0	90338345	35300000	38400000
chr17	0	83257441	22700000	27400000
chr18	0	80373285	15400000	21500000
chr19	0	58617616	24200000	28100000
chr20	0	64444167	25700000	30400000
chr21	0	46709983	10900000	13000000
chr22	0	50818468	13700000	17400000
chrX	0	156040895	58100000	63800000
chrY	0	57227415	10300000	10600000
chrM	0	16569		8284	8285
